y_true,y_pred,y_score
1,1,0.8057575757575759
0,0,0.0
1,1,1.0
0,0,0.1
0,1,1.0
1,1,0.9868773946360154
0,0,0.0
1,1,1.0
0,0,0.0
0,1,0.8258163793878079
1,1,1.0
1,1,0.9
1,1,0.9888888888888889
0,0,0.0
1,1,0.9744565217391304
1,1,0.9258163793878079
0,0,0.0
1,1,1.0
1,0,0.5
1,1,0.9581648043832918
1,1,1.0
1,1,1.0
1,1,1.0
0,0,0.0
1,1,0.6888888888888889
1,1,0.9875
0,0,0.0
0,0,0.0
0,0,0.05
1,1,0.9
1,1,0.8616022674990067
0,0,0.0
1,1,1.0
0,0,0.0
1,1,0.9
1,1,0.9333333333333332
0,0,0.0
1,1,1.0
1,1,0.8700000000000001
1,1,0.9402504638218924
0,1,1.0
1,1,0.9846153846153847
1,1,1.0
1,1,1.0
1,1,1.0
1,1,0.8827472527472526
1,1,1.0
1,1,0.7427472527472527
0,0,0.025
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.8854040404040404
0,0,0.0
0,0,0.0
1,1,0.8
0,0,0.0
1,1,1.0
1,1,0.9954040404040405
1,1,1.0
1,1,1.0
1,1,0.9
1,1,0.7907142857142857
1,1,1.0
1,1,0.8640215075929362
1,1,1.0
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.15
0,0,0.0
1,1,0.9346153846153846
1,1,0.8896551724137931
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.9250082985797272
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,1.0
1,1,0.7
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.957948717948718
0,0,0.0
0,0,0.0
1,1,1.0
0,0,0.0
1,1,0.8962962962962961
1,1,0.9800000000000001
0,0,0.0
0,0,0.0
1,1,0.9
0,0,0.0
1,1,0.8613305022272414
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9388961038961039
1,1,0.8
1,1,0.8800000000000001
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9644565217391305
1,1,1.0
0,0,0.0
0,0,0.0
1,1,0.925
1,1,1.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.99
1,1,0.9704545454545455
1,1,1.0
1,1,0.9582256441223833
0,0,0.0
1,1,0.9679487179487178
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.8365467601181887
0,0,0.0
1,1,1.0
1,1,1.0
0,1,0.6
1,1,0.8
1,1,0.9
0,0,0.0
0,0,0.0
1,1,0.9942857142857143
1,1,0.8954040404040405
1,1,1.0
0,0,0.1
1,1,1.0
1,1,0.8992841887523564
1,1,0.9388961038961039
1,1,0.9981818181818183
0,0,0.1
0,0,0.0
0,0,0.0
1,1,0.9
1,1,1.0
1,1,0.9
0,0,0.0
1,1,0.9981818181818183
1,1,0.9942857142857143
0,0,0.0
1,1,0.8
0,0,0.0
1,1,1.0
0,0,0.0
0,0,0.04285714285714286
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
1,1,1.0
1,1,0.9722483766233767
1,1,0.9920634920634921
1,1,1.0
0,0,0.1
1,1,0.9
1,1,1.0
0,0,0.18
0,0,0.0
0,0,0.0
1,1,0.99
1,1,0.989090909090909
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.8640215075929362
1,1,0.9896551724137931
0,0,0.0
1,1,1.0
1,1,1.0
1,1,0.7846153846153846
1,1,0.9827472527472528
0,0,0.0
1,1,1.0
1,1,0.9896551724137931
1,1,1.0
1,1,0.9793506493506495
1,1,0.8
0,0,0.0
1,1,0.9250082985797272
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9
0,0,0.0
0,0,0.0
0,0,0.0
1,1,0.9365467601181887
1,1,0.8
0,0,0.0
